MRSA_CFU,E_coli_CFU,MRSA_Biofilm,E_coli_Biofilm,ROS,M2_macrophage_ratio,Arg1,IL10,M1_macrophage_ratio,iNOS,TNF_alpha,p16,p21,RUNX2,OCN
0.301029996,0.301029996,0.24,0.25,0.144,18.9,6.17,158.0,11.8,0.28,197.0,0.188,0.171,4.1,9.5
2.906335042,2.656098202,2.23,1.67,0.972,4.21,0.95,21.0,36.0,0.98,2960.0,0.434,0.995,1.0,1.0
0.477121255,0.477121255,0.26,0.28,0.156,19.08,5.82,149.0,11.8,0.29,227.0,0.188,0.171,3.9,8.9
1.763427994,2.474216264,1.24,1.05,0.562,11.79,2.1,39.0,33.9,0.72,1357.0,0.323,0.603,1.7,3.5
0.954242509,1.431363764,0.49,0.48,0.374,17.69,4.82,113.0,25.8,0.51,523.0,0.255,0.437,2.6,6.5
1.77815125,2.352182518,1.21,0.98,0.658,11.4,1.89,33.0,33.4,0.68,1787.0,0.323,0.603,1.5,3.8
1.041392685,1.342422681,0.56,0.39,0.293,17.29,4.46,142.0,25.2,0.48,747.0,0.255,0.437,2.4,5.8
2.876794976,2.716837723,2.16,1.73,0.999,4.31,1.04,25.0,36.3,1.02,2477.0,0.434,0.995,0.96,0.98
